"value","description","date","geography","sex","age","source_file"
110881,"diagnostics pathway total waiting",2020-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
109849,"diagnostics pathway total waiting",2020-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
103913,"diagnostics pathway total waiting",2021-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
98858,"diagnostics pathway total waiting",2021-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
99210,"diagnostics pathway total waiting",2021-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
98992,"diagnostics pathway total waiting",2021-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
101618,"diagnostics pathway total waiting",2021-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
103906,"diagnostics pathway total waiting",2021-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
104877,"diagnostics pathway total waiting",2021-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
104318,"diagnostics pathway total waiting",2021-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
104169,"diagnostics pathway total waiting",2021-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
106357,"diagnostics pathway total waiting",2021-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
106559,"diagnostics pathway total waiting",2021-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
108787,"diagnostics pathway total waiting",2021-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
107012,"diagnostics pathway total waiting",2022-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
106723,"diagnostics pathway total waiting",2022-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
109107,"diagnostics pathway total waiting",2022-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
109410,"diagnostics pathway total waiting",2022-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
109831,"diagnostics pathway total waiting",2022-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
111048,"diagnostics pathway total waiting",2022-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
110389,"diagnostics pathway total waiting",2022-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
107909,"diagnostics pathway total waiting",2022-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
110198,"diagnostics pathway total waiting",2022-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
112781,"diagnostics pathway total waiting",2022-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
112527,"diagnostics pathway total waiting",2022-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
112825,"diagnostics pathway total waiting",2022-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
113719,"diagnostics pathway total waiting",2023-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
114786,"diagnostics pathway total waiting",2023-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
117502,"diagnostics pathway total waiting",2023-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
118543,"diagnostics pathway total waiting",2023-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
117981,"diagnostics pathway total waiting",2023-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
119704,"diagnostics pathway total waiting",2023-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
119716,"diagnostics pathway total waiting",2023-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
119926,"diagnostics pathway total waiting",2023-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
120360,"diagnostics pathway total waiting",2023-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
120809,"diagnostics pathway total waiting",2023-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
118554,"diagnostics pathway total waiting",2023-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
117601,"diagnostics pathway total waiting",2023-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
115365,"diagnostics pathway total waiting",2024-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
111478,"diagnostics pathway total waiting",2024-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
106951,"diagnostics pathway total waiting",2024-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
108126,"diagnostics pathway total waiting",2024-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
